Exercise ID,Description FR,Description EN,Catégorie,Category,Name FR (niveau 1),Name EN (niveau 1),Name FR ( niveau 2),Name EN (niveau 2),Name FR niveau 3),Name EN (niveau 3),Movement duration,Repeat,Pause,Description Espagnol,Description Italien,Description Allemand
1,Levez le front doucement.,Slowly rise the forehead.,Expressions faciales,Facial expressions,Groupe musculaire,Muscle group,Tiers supérieur,Superior Third,Front,Forehead,12,4,10,Levanten la frente suavemente.,Sollevate la fronte dolcemente.,Heben Sie die Stirn sanft.
2,Levez les sourcils légèrement.,Slowly rise the eyebrows.,Expressions faciales,Facial expressions,Groupe musculaire,Muscle group,Tiers supérieur,Superior Third,Front,Forehead,12,4,10,Levanten las cejas ligeramente.,Sollevate le sopracciglia leggermente.,Heben Sie die Augenbrauen leicht.
3,Froncez les sourcils légèrement.,Slowly frown with eyebrows only.,Expressions faciales,Facial expressions,Groupe musculaire,Muscle group,Tiers supérieur,Superior Third,Sourcil,Eyebrow,12,4,10,Frunzan las cejas ligeramente.,Aggrottate leggermente le sopracciglia.,Runzeln Sie die Augenbrauen leicht.
4,Fermez les yeux doucement et progressivement.,Slowly an progressively close the eyes.,Expressions faciales,Facial expressions,Groupe musculaire ,Muscle group,Tiers supérieur ,Superior Third,Yeux,Eyes,12,4,10,Cierren los ojos suave y progresivamente.,Chiudete gli occhi dolcemente e progressivamente.,Schließen Sie die Augen sanft und allmählich.
5,"Plissez légèrement les yeux, comme si vous étiez éblouis (en dessous des yeux).","Squint the eyes lightly, as you were dazzled by light.",Expressions faciales,Facial expressions,Groupe musculaire ,Muscle group,Tiers supérieur ,Superior Third,Yeux,Eyes,12,4,10,"Entrecierra ligeramente los ojos, como si estuvieras deslumbrado (debajo de los ojos).","Accentuate leggermente gli occhi, come se foste abbagliati (sotto gli occhi).","Schließen Sie die Augen leicht zusammen, als wären Sie geblendet (unter den Augen)."
6,"Levez doucement les narines, et seulement les narines.",Gently lift your nostrils. Only the nostrils.,Expressions faciales,Facial expressions,Groupe musculaire,Muscle group,Tiers médian,Median Third,Nez,Nose,8,4,5,"Levanta suavemente las fosas nasales, y solo las fosas nasales.","Alzate delicatamente le narici, e solo le narici.","Heben Sie sanft die Nasenlöcher, und nur die Nasenlöcher."
7,Souriez lentement bouche fermée.,Slowly smile with closed mouth.,Expressions faciales,Facial expressions,Groupe musculaire,Muscle group,Tiers médian,Median Third,Bouche ,Mouth,12,4,10,Sonríe lentamente con la boca cerrada.,Sorridi lentamente con la bocca chiusa.,Lächeln Sie langsam mit geschlossenen Lippen.
8,Souriez lentement bouche ouverte.,Slowly smile with open mouth.,Expressions faciales,Facial expressions,Groupe musculaire,Muscle group,Tiers médian,Median Third,Bouche ,Mouth,12,4,10,Sonríe lentamente con la boca abierta.,Sorridi lentamente con la bocca aperta.,Lächeln Sie langsam mit geöffnetem Mund.
9,Envoyez un baiser et maintenez le.,Send a kiss and hold it.,Expressions faciales,Facial expressions,Groupe musculaire,Muscle group,Tiers médian,Median Third,Bouche ,Mouth,12,4,10,Envía un beso.,Invia un bacio.,Senden Sie einen Kuss.
10,Faites un bec pincé en sentant la contraction à l’intérieur des lèvres.,Pinch your lips together feeling muscular activity inside the lips.,Expressions faciales,Facial expressions,Groupe musculaire,Muscle group,Tiers médian,Median Third,Bouche ,Mouth,12,4,10,Haz un pico apretado sintiendo la contracción dentro de los labios.,Fai un bacio stretto sentendo la contrazione dentro delle labbra.,Machen Sie einen schmalen Kuss und spüren Sie die Anspannung in den Lippen.
