Exercise ID,Movement Duration,Repetition,Pause,Description FR,Description EN,Description DE,Description ES,Description IT,Description PT,Category FR,Category Sub Level 1 FR,Category Sub Level 2 FR,Category Sub Level 3 FR,Category EN,Category Sub Level 1 EN,Category Sub Level 2 EN,Category Sub Level 3 EN,Category DE,Category Sub Level 1 DE,Category Sub Level 2 DE,Category Sub Level 3 DE,Category ES,Category Sub Level 1 ES,Category Sub Level 2 ES,Category Sub Level 3 ES,Category IT,Category Sub Level 1 IT,Category Sub Level 2 IT,Category Sub Level 3 IT,Category PT,Category Sub Level 1 PT,Category Sub Level 2 PT,Category Sub Level 3 PT
1,12,4,10,Levez le front doucement.,Slowly rise the forehead.,Heben Sie die Stirn sanft.,Levanten la frente suavemente.,Sollevate la fronte dolcemente.,Levante a testa suavemente.,Expressions faciales,Groupe musculaire,Tiers supérieur,Front,Facial expressions,Muscle group,Superior Third,Forehead,Gesichtsausdrücke,Muskelgruppe,Oberstufe,Vorderseite,Expresiones faciales,Grupo muscular,Nivel superior,Frente,Espressioni facciali,Gruppo muscolare,Terzo superiore,Facciata,Expressões faciais,Grupo muscular,Topo tier,Frente
2,12,4,10,Levez les sourcils légèrement.,Slowly rise the eyebrows.,Heben Sie die Augenbrauen leicht.,Levanten las cejas ligeramente.,Sollevate le sopracciglia leggermente.,Levante as sobrancelhas ligeiramente.,Expressions faciales,Groupe musculaire,Tiers supérieur,Front,Facial expressions,Muscle group,Superior Third,Forehead,Gesichtsausdrücke,Muskelgruppe,Oberstufe,Vorderseite,Expresiones faciales,Grupo muscular,Nivel superior,Frente,Espressioni facciali,Gruppo muscolare,Terzo superiore,Facciata,Expressões faciais,Grupo muscular,Topo tier,Frente
3,12,4,10,Froncez les sourcils légèrement.,Slowly frown with eyebrows only.,Runzeln Sie die Augenbrauen leicht.,Frunzan las cejas ligeramente.,Aggrottate leggermente le sopracciglia.,Franze ligeiramente as sobrancelhas.,Expressions faciales,Groupe musculaire,Tiers supérieur,Sourcil,Facial expressions,Muscle group,Superior Third,Eyebrow,Gesichtsausdrücke,Muskelgruppe,Oberstufe,Augenbraue,Expresiones faciales,Grupo muscular,Nivel superior,Ceja,Espressioni facciali,Gruppo muscolare,Terzo superiore,Sopracciglio.,Expressões faciais,Grupo muscular,Topo tier,Sobrancelha
4,12,4,10,Fermez les yeux doucement et progressivement.,Slowly an progressively close the eyes.,Schließen Sie die Augen sanft und allmählich.,Cierren los ojos suave y progresivamente.,Chiudete gli occhi dolcemente e progressivamente.,Feche os olhos suavemente e progressivamente.,Expressions faciales,Groupe musculaire,Tiers supérieur,Yeux,Facial expressions,Muscle group,Superior Third,Eyes,Gesichtsausdrücke,Muskelgruppe,Oberstufe,Augen,Expresiones faciales,Grupo muscular,Nivel superior,Ojos,Espressioni facciali,Gruppo muscolare,Terzo superiore,Occhi,Expressões faciais,Grupo muscular,Topo tier,Olhos
5,12,4,10,"Plissez légèrement les yeux, comme si vous étiez éblouis (en dessous des yeux).","Squint the eyes lightly, as you were dazzled by light.","Schließen Sie die Augen leicht zusammen, als wären Sie geblendet (unter den Augen).","Entrecierra ligeramente los ojos, como si estuvieras deslumbrado (debajo de los ojos).","Accentuate leggermente gli occhi, come se foste abbagliati (sotto gli occhi).","Franco: Semifeche os olhos levemente, como se estivesse deslumbrado (abaixo dos olhos).",Expressions faciales,Groupe musculaire,Tiers supérieur,Yeux,Facial expressions,Muscle group,Superior Third,Eyes,Gesichtsausdrücke,Muskelgruppe,Oberstufe,Augen,Expresiones faciales,Grupo muscular,Nivel superior,Ojos,Espressioni facciali,Gruppo muscolare,Terzo superiore,Occhi,Expressões faciais,Grupo muscular,Topo tier,Olhos
6,8,4,5,"Levez doucement les narines, et seulement les narines.",Gently lift your nostrils. Only the nostrils.,"Heben Sie sanft die Nasenlöcher, und nur die Nasenlöcher.","Levanta suavemente las fosas nasales, y solo las fosas nasales.","Alzate delicatamente le narici, e solo le narici.","Levante suavemente as narinas, e apenas as narinas.",Expressions faciales,Groupe musculaire,Tiers médian,Nez,Facial expressions,Muscle group,Median Third,Nose,Gesichtsausdrücke,Muskelgruppe,Mitteltier,Nase,Expresiones faciales,Grupo muscular,Tercer cuartil,Nariz,Espressioni facciali,Gruppo muscolare,Terza mediana,Naso,Expressões faciais,Grupo muscular,Terceiro médio,Nariz
7,12,4,10,Souriez lentement bouche fermée.,Slowly smile with closed mouth.,Lächeln Sie langsam mit geschlossenen Lippen.,Sonríe lentamente con la boca cerrada.,Sorridi lentamente con la bocca chiusa.,Sorria lentamente com a boca fechada.,Expressions faciales,Groupe musculaire,Tiers médian,Bouche,Facial expressions,Muscle group,Median Third,Mouth,Gesichtsausdrücke,Muskelgruppe,Mitteltier,Mund,Expresiones faciales,Grupo muscular,Tercer cuartil,Boca,Espressioni facciali,Gruppo muscolare,Terza mediana,Bocca,Expressões faciais,Grupo muscular,Terceiro médio,Boca
8,12,4,10,Souriez lentement bouche ouverte.,Slowly smile with open mouth.,Lächeln Sie langsam mit geöffnetem Mund.,Sonríe lentamente con la boca abierta.,Sorridi lentamente con la bocca aperta.,Sorria lentamente com a boca aberta.,Expressions faciales,Groupe musculaire,Tiers médian,Bouche,Facial expressions,Muscle group,Median Third,Mouth,Gesichtsausdrücke,Muskelgruppe,Mitteltier,Mund,Expresiones faciales,Grupo muscular,Tercer cuartil,Boca,Espressioni facciali,Gruppo muscolare,Terza mediana,Bocca,Expressões faciais,Grupo muscular,Terceiro médio,Boca
9,12,4,10,Envoyez un baiser et maintenez le.,Send a kiss and hold it.,Senden Sie einen Kuss.,Envía un beso.,Invia un bacio.,Envie um beijo e mantenha-o.,Expressions faciales,Groupe musculaire,Tiers médian,Bouche,Facial expressions,Muscle group,Median Third,Mouth,Gesichtsausdrücke,Muskelgruppe,Mitteltier,Mund,Expresiones faciales,Grupo muscular,Tercer cuartil,Boca,Espressioni facciali,Gruppo muscolare,Terza mediana,Bocca,Expressões faciais,Grupo muscular,Terceiro médio,Boca
10,12,4,10,Faites un bec pincé en sentant la contraction à l’intérieur des lèvres.,Pinch your lips together feeling muscular activity inside the lips.,Machen Sie einen schmalen Kuss und spüren Sie die Anspannung in den Lippen.,Haz un pico apretado sintiendo la contracción dentro de los labios.,Fai un bacio stretto sentendo la contrazione dentro delle labbra.,Faça um bico apertado sentindo a contração dentro dos lábios.,Expressions faciales,Groupe musculaire,Tiers médian,Bouche,Facial expressions,Muscle group,Median Third,Mouth,Gesichtsausdrücke,Muskelgruppe,Mitteltier,Mund,Expresiones faciales,Grupo muscular,Tercer cuartil,Boca,Espressioni facciali,Gruppo muscolare,Terza mediana,Bocca,Expressões faciais,Grupo muscular,Terceiro médio,Boca
