Exercise ID,Movement Duration,Repetition,Pause,Description FR,Description EN,Description DE,Description ES,Description IT,Description PT,Category FR,Category Sub Level 1 FR,Category Sub Level 2 FR,Category Sub Level 3 FR,Category EN,Category Sub Level 1 EN,Category Sub Level 2 EN,Category Sub Level 3 EN,Category DE,Category Sub Level 1 DE,Category Sub Level 2 DE,Category Sub Level 3 DE,Category ES,Category Sub Level 1 ES,Category Sub Level 2 ES,Category Sub Level 3 ES,Category IT,Category Sub Level 1 IT,Category Sub Level 2 IT,Category Sub Level 3 IT,Category PT,Category Sub Level 1 PT,Category Sub Level 2 PT,Category Sub Level 3 PT
1,12,4,10,Levez le front doucement.,Slowly rise the forehead.,Heben Sie die Stirn sanft.,Levanten la frente suavemente.,Sollevate la fronte dolcemente.,Levante a testa suavemente.,Expressions faciales,Groupe musculaire,Tiers supérieur,Front,Facial expressions,Muscle group,Superior Third,Forehead,Gesichtsausdrücke,Muskelgruppe,Oberes Drittel,Front,Expresiones faciales,grupo muscular,tercio superior,Frente,Espressioni facciali,Gruppo muscolare,Terzo superiore,Davanti,Expressões faciais,Grupo muscular,Terço superior,Frente
2,12,4,10,Levez les sourcils légèrement.,Slowly rise the eyebrows.,Heben Sie die Augenbrauen leicht.,Levanten las cejas ligeramente.,Sollevate le sopracciglia leggermente.,Levante ligeiramente as sobrancelhas.,Expressions faciales,Groupe musculaire,Tiers supérieur,Front,Facial expressions,Muscle group,Superior Third,Forehead,Gesichtsausdrücke,Muskelgruppe,Oberes Drittel,Front,Expresiones faciales,grupo muscular,tercio superior,Frente,Espressioni facciali,Gruppo muscolare,Terzo superiore,Davanti,Expressões faciais,Grupo muscular,Terço superior,Frente
3,12,4,10,Froncez les sourcils légèrement.,Slowly frown with eyebrows only.,Runzeln Sie die Augenbrauen leicht.,Frunzan las cejas ligeramente.,Aggrottate leggermente le sopracciglia.,Franzir a testa ligeiramente.,Expressions faciales,Groupe musculaire,Tiers supérieur,Sourcil,Facial expressions,Muscle group,Superior Third,Eyebrow,Gesichtsausdrücke,Muskelgruppe,Oberes Drittel,Augenbraue,Expresiones faciales,grupo muscular,tercio superior,Ceja,Espressioni facciali,Gruppo muscolare,Terzo superiore,Sopracciglio,Expressões faciais,Grupo muscular,Terço superior,Sobrancelha
4,12,4,10,Fermez les yeux doucement et progressivement.,Slowly an progressively close the eyes.,Schließen Sie die Augen sanft und allmählich.,Cierren los ojos suave y progresivamente.,Chiudete gli occhi dolcemente e progressivamente.,Feche os olhos suave e gradualmente.,Expressions faciales,Groupe musculaire,Tiers supérieur,Yeux,Facial expressions,Muscle group,Superior Third,Eyes,Gesichtsausdrücke,Muskelgruppe,Oberes Drittel,Augen,Expresiones faciales,grupo muscular,tercio superior,Ojos,Espressioni facciali,Gruppo muscolare,Terzo superiore,Occhi,Expressões faciais,Grupo muscular,Terço superior,Olhos
5,12,4,10,"Plissez légèrement les yeux, comme si vous étiez éblouis (en dessous des yeux).","Squint the eyes lightly, as you were dazzled by light.","Schließen Sie die Augen leicht zusammen, als wären Sie geblendet (unter den Augen).","Entrecierra ligeramente los ojos, como si estuvieras deslumbrado (debajo de los ojos).","Accentuate leggermente gli occhi, come se foste abbagliati (sotto gli occhi).","Aperte ligeiramente os olhos, como se estivesse deslumbrado (abaixo dos olhos).",Expressions faciales,Groupe musculaire,Tiers supérieur,Yeux,Facial expressions,Muscle group,Superior Third,Eyes,Gesichtsausdrücke,Muskelgruppe,Oberes Drittel,Augen,Expresiones faciales,grupo muscular,tercio superior,Ojos,Espressioni facciali,Gruppo muscolare,Terzo superiore,Occhi,Expressões faciais,Grupo muscular,Terço superior,Olhos
6,8,4,5,"Levez doucement les narines, et seulement les narines.",Gently lift your nostrils. Only the nostrils.,"Heben Sie sanft die Nasenlöcher, und nur die Nasenlöcher.","Levanta suavemente las fosas nasales, y solo las fosas nasales.","Alzate delicatamente le narici, e solo le narici.","Levante suavemente as narinas, e apenas as narinas.",Expressions faciales,Groupe musculaire,Tiers médian,Nez,Facial expressions,Muscle group,Median Third,Nose,Gesichtsausdrücke,Muskelgruppe,Mittleres Drittel,Nase,Expresiones faciales,grupo muscular,tercio medio,Nariz,Espressioni facciali,Gruppo muscolare,Terzo medio,Naso,Expressões faciais,Grupo muscular,Terço médio,Nariz
7,12,4,10,Souriez lentement bouche fermée.,Slowly smile with closed mouth.,Lächeln Sie langsam mit geschlossenen Lippen.,Sonríe lentamente con la boca cerrada.,Sorridi lentamente con la bocca chiusa.,Sorria lentamente com a boca fechada.,Expressions faciales,Groupe musculaire,Tiers médian,Bouche,Facial expressions,Muscle group,Median Third,Mouth,Gesichtsausdrücke,Muskelgruppe,Mittleres Drittel,Mund,Expresiones faciales,grupo muscular,tercio medio,Boca,Espressioni facciali,Gruppo muscolare,Terzo medio,Bocca,Expressões faciais,Grupo muscular,Terço médio,Boca
8,12,4,10,Souriez lentement bouche ouverte.,Slowly smile with open mouth.,Lächeln Sie langsam mit geöffnetem Mund.,Sonríe lentamente con la boca abierta.,Sorridi lentamente con la bocca aperta.,Sorria lentamente com a boca aberta.,Expressions faciales,Groupe musculaire,Tiers médian,Bouche,Facial expressions,Muscle group,Median Third,Mouth,Gesichtsausdrücke,Muskelgruppe,Mittleres Drittel,Mund,Expresiones faciales,grupo muscular,tercio medio,Boca,Espressioni facciali,Gruppo muscolare,Terzo medio,Bocca,Expressões faciais,Grupo muscular,Terço médio,Boca
9,12,4,10,Envoyez un baiser et maintenez le.,Send a kiss and hold it.,Senden Sie einen Kuss.,Envía un beso.,Invia un bacio.,Mande um beijo e segure.,Expressions faciales,Groupe musculaire,Tiers médian,Bouche,Facial expressions,Muscle group,Median Third,Mouth,Gesichtsausdrücke,Muskelgruppe,Mittleres Drittel,Mund,Expresiones faciales,grupo muscular,tercio medio,Boca,Espressioni facciali,Gruppo muscolare,Terzo medio,Bocca,Expressões faciais,Grupo muscular,Terço médio,Boca
10,12,4,10,Faites un bec pincé en sentant la contraction à l’intérieur des lèvres.,Pinch your lips together feeling muscular activity inside the lips.,Machen Sie einen schmalen Kuss und spüren Sie die Anspannung in den Lippen.,Haz un pico apretado sintiendo la contracción dentro de los labios.,Fai un bacio stretto sentendo la contrazione dentro delle labbra.,Faça um bico comprimido sentindo a contração dentro dos lábios.,Expressions faciales,Groupe musculaire,Tiers médian,Bouche,Facial expressions,Muscle group,Median Third,Mouth,Gesichtsausdrücke,Muskelgruppe,Mittleres Drittel,Mund,Expresiones faciales,grupo muscular,tercio medio,Boca,Espressioni facciali,Gruppo muscolare,Terzo medio,Bocca,Expressões faciais,Grupo muscular,Terço médio,Boca
11,12,4,10,Étirez doucement le coin des lèvres vers le bas .,Slowly stretch the corners of the lips down.,Ziehen Sie die Lippen sanft nach unten.,Estira suavemente los labios hacia abajo.,Allunga dolcemente le labbra verso il basso.,Estique suavemente os cantos dos lábios para baixo.,Expressions faciales,Groupe musculaire,Tiers inférieur,Bouche,Facial expressions,Muscle group,Inferior Third,Mouth,Gesichtsausdrücke,Muskelgruppe,Unteres Drittel,Mund,Expresiones faciales,grupo muscular,Tercio inferior,Boca,Espressioni facciali,Gruppo muscolare,Terzo inferiore,Bocca,Expressões faciais,Grupo muscular,Terço inferior,Boca
12,12,4,10,Étirez doucement les lèvres vers le bas en sentant votre cou s’activer doucement.,Slowly stretch the lips down and feel the gentle activation in the neck.,"Ziehen Sie die Lippen sanft nach unten und spüren Sie, wie sich Ihr Hals sanft aktiviert.",Estira suavemente los labios hacia abajo sintiendo cómo se activa suavemente tu cuello.,Allunga dolcemente le labbra verso il basso sentendo come si attiva delicatamente il tuo collo.,"Estique suavemente os lábios para baixo, sentindo o pescoço ativar suavemente.",Expressions faciales,Groupe musculaire,Tiers inférieur,Cou,Facial expressions,Muscle group,Inferior Third,Neck,Gesichtsausdrücke,Muskelgruppe,Unteres Drittel,Cou,Expresiones faciales,grupo muscular,Tercio inferior,Cónyuge,Espressioni facciali,Gruppo muscolare,Terzo inferiore,Cocco,Expressões faciais,Grupo muscular,Terço inferior,Pão
13,12,4,10,Pensez à quelque chose de surprenant.,Think about something surprising.,Denken Sie an etwas Überraschendes.,Piensa en algo sorprendente.,Pensa a qualcosa di sorprendente.,Pense em algo surpreendente.,Expressions faciales,Émotions,Tiers supérieur,Surpris,Facial expressions,Emotions,Superior Third,Surprised,Gesichtsausdrücke,Emotionen,Oberes Drittel,Überrascht,Expresiones faciales,Emociones,tercio superior,Sorprendido,Espressioni facciali,Emozioni,Terzo superiore,Sorpreso,Expressões faciais,Emoções,Terço superior,Surpreso
14,12,4,10,Pensez à quelque chose de fâchant.,Think about something that makes you feel angry.,"Denken Sie an etwas, das Sie ärgert.",Piensa en algo que te enfada.,Pensa a qualcosa che ti infastidisce.,Pense em algo irritado.,Expressions faciales,Émotions,Tiers supérieur,Fâché,Facial expressions,Emotions,Superior Third,Angry,Gesichtsausdrücke,Emotionen,Oberes Drittel,Wütend,Expresiones faciales,Emociones,tercio superior,Enojado,Espressioni facciali,Emozioni,Terzo superiore,Arrabbiato,Expressões faciais,Emoções,Terço superior,Nervoso
15,12,4,10,Pensez à quelque chose de dégoûtant.,Think about something disgusting.,Denken Sie an etwas Ekelhaftes.,Piensa en algo asqueroso.,Pensa a qualcosa di disgustoso.,Pense em algo nojento.,Expressions faciales,Émotions,Tiers médian,Dégouté,Facial expressions,Emotions,Median Third,Disguted,Gesichtsausdrücke,Emotionen,Mittleres Drittel,Angewidert,Expresiones faciales,Emociones,tercio medio,Disgustado,Espressioni facciali,Emozioni,Terzo medio,Disgustato,Expressões faciais,Emoções,Terço médio,Enojado
16,12,4,10,Pensez à quelque chose de joyeux.,Think about something happy.,Denken Sie an etwas Fröhliches.,Piensa en algo alegre.,Pensa a qualcosa di allegro.,Pense em algo feliz.,Expressions faciales,Émotions,Tiers médian,Heureux,Facial expressions,Emotions,Median Third,Happy,Gesichtsausdrücke,Emotionen,Mittleres Drittel,Glücklich,Expresiones faciales,Emociones,tercio medio,Feliz,Espressioni facciali,Emozioni,Terzo medio,Contento,Expressões faciais,Emoções,Terço médio,Feliz
17,12,4,10,Envoyez un baiser avec amour et maintenez-le.,Send a kiss with love and hold it.,Senden Sie einen Kuss mit Liebe.,Envía un beso con amor.,Invia un bacio con amore.,Mande um beijo com amor e segure.,Expressions faciales,Émotions,Tiers médian,Amoureux(euse),Facial expressions,Emotions,Median Third,In love,Gesichtsausdrücke,Emotionen,Mittleres Drittel,Liebhaber,Expresiones faciales,Emociones,tercio medio,Amante,Espressioni facciali,Emozioni,Terzo medio,Amante,Expressões faciais,Emoções,Terço médio,Amante
18,12,4,10,Levez le front doucement et pensez à quelque chose de surprenant .,Slowly rise the forehead and think about something surprising.,Denken Sie an etwas Überraschendes und heben Sie die Stirn sanft.,Piensa en algo sorprendente y levanta la frente suavemente.,Pensa a qualcosa di sorprendente e solleva la fronte dolcemente.,Levante suavemente a testa e pense em algo surpreendente.,Expressions faciales,Groupe musculaire + émotions,Tiers supérieur,Front et surpris,Facial expressions,Muscle group + emotions,Superior Third,Forehead + surprised,Gesichtsausdrücke,Muskelgruppe + Emotionen,Oberes Drittel,Vorne und überrascht,Expresiones faciales,Grupo muscular + emociones,tercio superior,De frente y sorprendido,Espressioni facciali,Gruppo muscolare + emozioni,Terzo superiore,Davanti e sorpreso,Expressões faciais,Grupo muscular + emoções,Terço superior,Frente e surpreso
19,12,4,10,Levez les sourcils légèrement et pensez à quelque chose de surprenant.,Slowly rise the eyebrows and think about something surprising.,Denken Sie an etwas Überraschendes und heben Sie die Augenbrauen leicht.,Piensa en algo sorprendente y levanta las cejas ligeramente.,Pensa a qualcosa di sorprendente e solleva le sopracciglia leggermente.,Levante ligeiramente as sobrancelhas e pense em algo surpreendente.,Expressions faciales,Groupe musculaire + émotions,Tiers supérieur,Front et surpris,Facial expressions,Muscle group + emotions,Superior Third,Forehead + surprised,Gesichtsausdrücke,Muskelgruppe + Emotionen,Oberes Drittel,Vorne und überrascht,Expresiones faciales,Grupo muscular + emociones,tercio superior,De frente y sorprendido,Espressioni facciali,Gruppo muscolare + emozioni,Terzo superiore,Davanti e sorpreso,Expressões faciais,Grupo muscular + emoções,Terço superior,Frente e surpreso
20,12,4,10,Froncez les sourcils légèrement et pensez à quelque chose de fâchant.,"Slowly frown the eyebrows, and think about something that makes you feel angry.","Denken Sie an etwas, das Sie ärgert, und runzeln Sie leicht die Augenbrauen.",Piensa en algo que te enfada y frunce ligeramente las cejas.,Pensa a qualcosa che ti infastidisce e aggrotta leggermente le sopracciglia.,Franza ligeiramente as sobrancelhas e pense em algo irritado.,Expressions faciales,Groupe musculaire + émotions,Tiers supérieur,Sourcil et fâché,Facial expressions,Muscle group + emotions,Superior Third,Eyebrow + angry,Gesichtsausdrücke,Muskelgruppe + Emotionen,Oberes Drittel,Augenbrauen und wütend,Expresiones faciales,Grupo muscular + emociones,tercio superior,Ceja y enojado,Espressioni facciali,Gruppo muscolare + emozioni,Terzo superiore,Sopracciglio e arrabbiato,Expressões faciais,Grupo muscular + emoções,Terço superior,Sobrancelha e raiva
21,8,4,5,Levez doucement les narines (seulement les narines) et pensez à quelque chose de dégoûtant.,Gently lift your nostrils (only the nostrils) and think about something disgusting you.,Denken Sie an etwas Ekelhaftes und heben Sie sanft die Nasenlöcher. Nur die Nasenlöcher.,Piensa en algo asqueroso y levanta suavemente las fosas nasales. Solo las fosas nasales.,Pensa a qualcosa di disgustoso e alza dolcemente le narici. Solo le narici.,Levante suavemente as narinas (apenas as narinas) e pense em algo nojento.,Expressions faciales,Groupe musculaire + émotions,Tiers médian,Nez + dégouté,Facial expressions,Muscle group + emotions,Median Third,Nose + disguted,Gesichtsausdrücke,Muskelgruppe + Emotionen,Mittleres Drittel,Nase + angewidert,Expresiones faciales,Grupo muscular + emociones,tercio medio,Nariz + disgustado,Espressioni facciali,Gruppo muscolare + emozioni,Terzo medio,Naso + disgustato,Expressões faciais,Grupo muscular + emoções,Terço médio,Nariz + enojado
22,12,4,10,Souriez bouche fermée et pensez à quelque chose de joyeux.,Slowly smile with closed mouth and think about something happy.,Denken Sie an etwas Fröhliches und lächeln Sie mit geschlossenen Lippen.,Piensa en algo alegre y sonríe con la boca cerrada.,Pensa a qualcosa di allegro e sorridi con la bocca chiusa.,Sorria de boca fechada e pense em algo feliz.,Expressions faciales,Groupe musculaire + émotions,Tiers médian,Bouche et  heureux,Facial expressions,Muscle group + emotions,Median Third,Mouth + happy,Gesichtsausdrücke,Muskelgruppe + Emotionen,Mittleres Drittel,Mund und glücklich,Expresiones faciales,Grupo muscular + emociones,tercio medio,Boca y feliz,Espressioni facciali,Gruppo muscolare + emozioni,Terzo medio,Bocca e felice,Expressões faciais,Grupo muscular + emoções,Terço médio,Boca e feliz
23,12,4,10,Souriez bouche ouverte et pensez à quelque chose de joyeux.,Slowly smile with open mouth and think about something happy.,Denken Sie an etwas Fröhliches und lächeln Sie mit offenem Mund.,Piensa en algo alegre y sonríe con la boca abierta.,Pensa a qualcosa di allegro e sorridi con la bocca aperta.,Sorria de boca aberta e pense em algo feliz.,Expressions faciales,Groupe musculaire + émotions,Tiers médian,Bouche et heureux,Facial expressions,Muscle group + emotions,Median Third,Mouth + happy,Gesichtsausdrücke,Muskelgruppe + Emotionen,Mittleres Drittel,Mund und glücklich,Expresiones faciales,Grupo muscular + emociones,tercio medio,Boca y feliz,Espressioni facciali,Gruppo muscolare + emozioni,Terzo medio,Bocca e felice,Expressões faciais,Grupo muscular + emoções,Terço médio,Boca e feliz
24,12,4,10,Pensez à quelqu’un que vous aimez et envoyez-lui un baiser. Maintenez le.,Send a kiss to someone you love and hold it.,"Denken Sie an jemanden, den Sie lieben, und senden Sie ihm einen Kuss.",Piensa en alguien que amas y envíale un beso.,Pensa a qualcuno che ami e invia un bacio.,Pense em alguém que você ama e mande um beijo para ele. Espere.,Expressions faciales,Groupe musculaire + émotions,Tiers médian,Bouche et amoureux,Facial expressions,Muscle group + emotions,Inferior Third,Mouth + in love,Gesichtsausdrücke,Muskelgruppe + Emotionen,Mittleres Drittel,Mund und Liebhaber,Expresiones faciales,Grupo muscular + emociones,tercio medio,Boca y amantes,Espressioni facciali,Gruppo muscolare + emozioni,Terzo medio,Bocca e amanti,Expressões faciais,Grupo muscular + emoções,Terço médio,Boca e amantes
25,12,4,10,Étirez le coins des lèvres vers le bas et pensez à quelque chose de dégoûtant.,Slowly stretch down the corners of your lips and think about something disgusting,Denken Sie an etwas Ekelhaftes und ziehen Sie die Lippen nach unten.,Piensa en algo asqueroso y estira los labios hacia abajo.,Pensa a qualcosa di disgustoso e allunga le labbra verso il basso.,Estique os cantos dos lábios para baixo e pense em algo nojento.,Expressions faciales,Groupe musculaire + émotions,Tiers inférieur,Bouche et dégouté,Facial expressions,Muscle group + emotions,Inferior Third,Mouth + disguted,Gesichtsausdrücke,Muskelgruppe + Emotionen,Unteres Drittel,Mit dem Mund und angewidert,Expresiones faciales,Grupo muscular + emociones,Tercio inferior,Hablando y disgustado,Espressioni facciali,Gruppo muscolare + emozioni,Terzo inferiore,A bocca aperta e disgustato,Expressões faciais,Grupo muscular + emoções,Terço inferior,Boca e nojo
26,12,4,10,"Étirez le coin des lèvres vers le bas en sentant votre cou s’activer doucement, et pensez à quelque chose de dégoûtant.","Slowly stretch down the corners of your lips, feeling a gentle activation in the neck.Think about something disgusting.",Denken Sie an etwas Ekelhaftes und spüren Sie langsam eine sanfte Aktivierung im Nacken.,Piensa en algo asqueroso y siente lentamente una suave activación en el cuello.,Pensa a qualcosa di disgustoso e senti lentamente una leggera attivazione nel collo.,"Estique os cantos dos lábios para baixo, sentindo o pescoço se mover suavemente, e pense em algo nojento.",Expressions faciales,Groupe musculaire + émotions,Tiers inférieur,Cou et dégoûté,Facial expressions,Muscle group + emotions,Inferior Third,Neck + disguted,Gesichtsausdrücke,Muskelgruppe + Emotionen,Unteres Drittel,Hals und Ekel,Expresiones faciales,Grupo muscular + emociones,Tercio inferior,Cuello y disgusto,Espressioni facciali,Gruppo muscolare + emozioni,Terzo inferiore,Collo e disgustato,Expressões faciais,Grupo muscular + emoções,Terço inferior,Pescoço e enojado
27,12,4,10,"Avec le doigt SEULEMENT, levez le front, et pensez à quelque chose de surprenant.","With the finger ONLY, rise the forehead, and think about something surprising.",Heben Sie mit dem Finger NUR die Stirn und denken Sie an etwas Überraschendes.,"Con el dedo SOLAMENTE, levanta la frente y piensa en algo sorprendente.","Con il dito SOLAMENTE, solleva la fronte e pensa a qualcosa di sorprendente.","SOMENTE com o dedo, levante a testa e pense em algo surpreendente.",Mobilisation assistée,Passif assisté,Tiers supérieur,,Assisted mobilization,Passive Assisted,Superior Third,,Unterstützte Mobilisierung,Unterstützt passiv,Oberes Drittel,,Movilización asistida,Pasivo asistido,tercio superior,,Mobilitazione assistita,Passivo assistito,Terzo superiore,,Mobilização assistida,Passivo assistido,Terço superior,
28,12,4,10,"Avec le doigt SEULEMENT, levez les sourcils, et pensez à quelque chose de surprenant.","With the finger ONLY, rise the eyebrows,  and think about something surprising.",Heben Sie mit dem Finger NUR die Augenbrauen und denken Sie an etwas Überraschendes.,"Con el dedo SOLAMENTE, levanta las cejas y piensa en algo sorprendente.","Con il dito SOLAMENTE, solleva le sopracciglia e pensa a qualcosa di sorprendente.","SOMENTE com o dedo, levante as sobrancelhas e pense em algo surpreendente.",Mobilisation assistée,Passif assisté,Tiers supérieur,,Assisted mobilization,Passive Assisted,Superior Third,,Unterstützte Mobilisierung,Unterstützt passiv,Oberes Drittel,,Movilización asistida,Pasivo asistido,tercio superior,,Mobilitazione assistita,Passivo assistito,Terzo superiore,,Mobilização assistida,Passivo assistido,Terço superior,
29,12,4,10,"Avec le doigt SEULEMENT, froncez les sourcils, et pensez à quelque chose de fâchant.","With the finger ONLY, frown the eyebrows, and think about something that makes you feel angry.","Runzeln Sie mit dem Finger NUR die Stirn und denken Sie an etwas, das Sie ärgert.","Con el dedo SOLAMENTE, frunce el ceño y piensa en algo que te enfada.","Con il dito SOLAMENTE, aggrotta le sopracciglia e pensa a qualcosa che ti infastidisce.","SOMENTE com o dedo, franzir a testa e pensar em algo irritado.",Mobilisation assistée,Passif assisté,Tiers supérieur,,Assisted mobilization,Passive Assisted,Superior Third,,Unterstützte Mobilisierung,Unterstützt passiv,Oberes Drittel,,Movilización asistida,Pasivo asistido,tercio superior,,Mobilitazione assistita,Passivo assistito,Terzo superiore,,Mobilização assistida,Passivo assistido,Terço superior,
30,8,4,5,"Avec le doigt SEULEMENT, levez doucement les narines, et pensez à quelque chose de dégoûtant.","With the finger ONLY, lift your nostrils, and think about something disgusting.",Hebt mit dem Finger NUR vorsichtig die Nasenlöcher an und denkt an etwas Ekliges.,"Con el dedo SOLAMENTE, levanta suavemente las fosas nasales y piensa en algo asqueroso.","Con il dito SOLOCAMENTE, solleva delicatamente le narici e pensa a qualcosa di disgustoso.","SOMENTE com o dedo, levante suavemente as narinas e pense em algo nojento.",Mobilisation assistée,Passif assisté,Tiers médian,,Assisted mobilization,Passive Assisted,Median Third,,Unterstützte Mobilisierung,Unterstützt passiv,Mittleres Drittel,,Movilización asistida,Pasivo asistido,tercio medio,,Mobilitazione assistita,Passivo assistito,Terzo medio,,Mobilização assistida,Passivo assistido,Terço médio,
